,出生率,死亡率,自然增长率
1952,37,17,20
1955,32.6,12.28,20.32
1960,20.86,25.43,-4.57
1965,37.88,9.5,28.38
1970,33.43,7.6,25.83
1975,23.01,7.32,15.69
1976,19.91,7.25,12.66
1977,18.93,6.87,12.06
1978,18.25,6.25,12
1979,17.82,6.21,11.61
1980,18.21,6.34,11.87
1981,20.91,6.36,14.55
1982,22.28,6.6,15.68
1983,20.19,6.9,13.29
1984,19.9,6.82,13.08
1985,21.04,6.78,14.26
1986,22.43,6.86,15.57
1987,23.33,6.72,16.61
1988,22.37,6.64,15.73
1989,21.58,6.54,15.04
1990,21.06,6.67,14.39
1991,19.68,6.7,12.98
1992,18.24,6.64,11.6
1993,18.09,6.64,11.45
1994,17.7,6.49,11.21
1995,17.12,6.57,10.55
1996,16.98,6.56,10.42
1997,16.57,6.51,10.06
1998,15.64,6.5,9.14
1999,14.64,6.46,7.58
2000,14.03,6.45,7.58
2001,13.38,6.43,6.95
2002,12.86,6.41,6.45
2003,12.41,6.4,6.01
2004,12.29,6.42,5.87
2005,12.4,6.51,5.89
2006,12.09,6.81,5.28
2007,12.1,6.93,5.17
2008,12.14,7.06,5.08
2009,11.95,7.08,4.87
2010,11.9,7.11,4.79
2011,11.93,7.14,4.79
2012,12.1,7.15,4.95
